Layer: 1, Crossbars required: 1
OU Row: 12, OU Col: 24, OU required: 4, Latency: 48.0, Energy: 276480.0, EDP: 13271040.00000 J•s, Power Density: 0.00237 W, TOPS: 1.54e-01, EPM: 1.54e-14
OU Row: 12, OU Col: 28, OU required: 4, Latency: 48.0, Energy: 322560.0, EDP: 15482880.00000 J•s, Power Density: 0.00307 W, TOPS: 1.79e-01, EPM: 1.71e-14
OU Row: 12, OU Col: 32, OU required: 3, Latency: 27.0, Energy: 207360.0, EDP: 5598720.00000 J•s, Power Density: 0.00386 W, TOPS: 2.05e-01, EPM: 1.88e-14
OU Row: 16, OU Col: 4, OU required: 16, Latency: 1024.0, Energy: 1310720.0, EDP: 1342177280.00000 J•s, Power Density: 0.00030 W, TOPS: 3.42e-02, EPM: 8.65e-15
OU Row: 16, OU Col: 8, OU required: 8, Latency: 256.0, Energy: 655360.0, EDP: 167772160.00000 J•s, Power Density: 0.00071 W, TOPS: 6.84e-02, EPM: 1.03e-14
OU Row: 16, OU Col: 12, OU required: 6, Latency: 144.0, Energy: 552960.0, EDP: 79626240.00000 J•s, Power Density: 0.00124 W, TOPS: 1.03e-01, EPM: 1.20e-14
OU Row: 16, OU Col: 16, OU required: 4, Latency: 64.0, Energy: 327680.0, EDP: 20971520.00000 J•s, Power Density: 0.00188 W, TOPS: 1.37e-01, EPM: 1.37e-14
OU Row: 16, OU Col: 20, OU required: 4, Latency: 64.0, Energy: 409600.0, EDP: 26214400.00000 J•s, Power Density: 0.00264 W, TOPS: 1.71e-01, EPM: 1.55e-14
OU Row: 16, OU Col: 24, OU required: 3, Latency: 36.0, Energy: 276480.0, EDP: 9953280.00000 J•s, Power Density: 0.00352 W, TOPS: 2.05e-01, EPM: 1.72e-14
OU Row: 16, OU Col: 28, OU required: 3, Latency: 36.0, Energy: 322560.0, EDP: 11612160.00000 J•s, Power Density: 0.00451 W, TOPS: 2.39e-01, EPM: 1.89e-14
OU Row: 16, OU Col: 32, OU required: 2, Latency: 16.0, Energy: 163840.0, EDP: 2621440.00000 J•s, Power Density: 0.00562 W, TOPS: 2.73e-01, EPM: 2.06e-14
OU Row: 20, OU Col: 4, OU required: 13, Latency: 845.0, Energy: 1352000.0, EDP: 1142440000.00000 J•s, Power Density: 0.00044 W, TOPS: 4.27e-02, EPM: 1.04e-14
OU Row: 20, OU Col: 8, OU required: 7, Latency: 245.0, Energy: 784000.0, EDP: 192080000.00000 J•s, Power Density: 0.00103 W, TOPS: 8.54e-02, EPM: 1.21e-14
OU Row: 20, OU Col: 12, OU required: 5, Latency: 125.0, Energy: 600000.0, EDP: 75000000.00000 J•s, Power Density: 0.00177 W, TOPS: 1.28e-01, EPM: 1.38e-14
OU Row: 20, OU Col: 16, OU required: 4, Latency: 80.0, Energy: 512000.0, EDP: 40960000.00000 J•s, Power Density: 0.00265 W, TOPS: 1.71e-01, EPM: 1.55e-14
OU Row: 20, OU Col: 20, OU required: 3, Latency: 45.0, Energy: 360000.0, EDP: 16200000.00000 J•s, Power Density: 0.00367 W, TOPS: 2.14e-01, EPM: 1.72e-14
OU Row: 20, OU Col: 24, OU required: 3, Latency: 45.0, Energy: 432000.0, EDP: 19440000.00000 J•s, Power Density: 0.00484 W, TOPS: 2.56e-01, EPM: 1.89e-14
OU Row: 20, OU Col: 28, OU required: 2, Latency: 20.0, Energy: 224000.0, EDP: 4480000.00000 J•s, Power Density: 0.00616 W, TOPS: 2.99e-01, EPM: 2.06e-14
OU Row: 20, OU Col: 32, OU required: 2, Latency: 20.0, Energy: 256000.0, EDP: 5120000.00000 J•s, Power Density: 0.00762 W, TOPS: 3.42e-01, EPM: 2.23e-14
OU Row: 24, OU Col: 4, OU required: 11, Latency: 726.0, Energy: 1393920.0, EDP: 1011985920.00000 J•s, Power Density: 0.00062 W, TOPS: 5.13e-02, EPM: 1.21e-14
OU Row: 24, OU Col: 8, OU required: 6, Latency: 216.0, Energy: 829440.0, EDP: 179159040.00000 J•s, Power Density: 0.00142 W, TOPS: 1.03e-01, EPM: 1.38e-14
OU Row: 24, OU Col: 12, OU required: 4, Latency: 96.0, Energy: 552960.0, EDP: 53084160.00000 J•s, Power Density: 0.00239 W, TOPS: 1.54e-01, EPM: 1.55e-14
OU Row: 24, OU Col: 16, OU required: 3, Latency: 54.0, Energy: 414720.0, EDP: 22394880.00000 J•s, Power Density: 0.00353 W, TOPS: 2.05e-01, EPM: 1.72e-14
OU Row: 24, OU Col: 20, OU required: 3, Latency: 54.0, Energy: 518400.0, EDP: 27993600.00000 J•s, Power Density: 0.00485 W, TOPS: 2.56e-01, EPM: 1.89e-14
OU Row: 24, OU Col: 24, OU required: 2, Latency: 24.0, Energy: 276480.0, EDP: 6635520.00000 J•s, Power Density: 0.00634 W, TOPS: 3.08e-01, EPM: 2.06e-14
OU Row: 24, OU Col: 28, OU required: 2, Latency: 24.0, Energy: 322560.0, EDP: 7741440.00000 J•s, Power Density: 0.00801 W, TOPS: 3.59e-01, EPM: 2.23e-14
OU Row: 24, OU Col: 32, OU required: 2, Latency: 24.0, Energy: 368640.0, EDP: 8847360.00000 J•s, Power Density: 0.00986 W, TOPS: 4.10e-01, EPM: 2.40e-14
